,Unnamed: 0,event_date,event_type,country,admin1,actor1,actor2,assoc_actor_1,assoc_actor_2
294,56493,15 October 2020,Explosions/Remote violence,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2020-),,Military Forces of France (2017-)
295,56496,15 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
296,56782,14 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
300,57225,14 October 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2020-),,
307,58013,13 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
308,58017,13 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
309,58235,12 October 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
310,58785,12 October 2020,Battles,Mali,Bamako,Militia (Students),Militia (Students),AEEM: Association of Students and Pupils in Mali,AEEM: Association of Students and Pupils in Mali
313,59327,11 October 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),Military Forces of France (2017-),,
315,59870,10 October 2020,Battles,Mali,Gao,Military Forces of France (2017-),Islamic State (Greater Sahara),Military Forces of Niger (2011-),
316,60039,10 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
317,60354,09 October 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Dozo Communal Militia (Mali),,
320,60833,09 October 2020,Battles,Mali,Tombouctou,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
321,61542,08 October 2020,Battles,Mali,Segou,Dozo Communal Militia (Mali),JNIM: Group for Support of Islam and Muslims,,
322,61546,08 October 2020,Battles,Mali,Sikasso,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
323,62340,07 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dogon Ethnic Militia (Mali),,Farmers (Mali)
326,63183,06 October 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
328,63341,06 October 2020,Battles,Mali,Mopti,Unidentified Armed Group (Mali),Military Forces of Mali (2020-),,
334,66024,02 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
336,66672,01 October 2020,Battles,Mali,Mopti,Dan Na Ambassagou,Dogon Ethnic Militia (Mali),,Farmers (Mali)
337,66675,01 October 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
338,66681,01 October 2020,Explosions/Remote violence,Mali,Gao,Military Forces of France (2017-),JNIM: Group for Support of Islam and Muslims,,
339,66687,01 October 2020,Battles,Mali,Tombouctou,Unidentified Armed Group (Mali),Police Forces of Mali (2020-),,
340,67528,30 September 2020,Battles,Mali,Segou,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
342,68278,29 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2020-),,
346,68341,29 September 2020,Explosions/Remote violence,Mali,Kidal,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),,
350,70269,26 September 2020,Battles,Mali,Sikasso,Bananso Communal Militia (Mali),Bananso Communal Militia (Mali),,Miners (Mali)
353,70467,26 September 2020,Battles,Mali,Gao,JNIM: Group for Support of Islam and Muslims,Islamic State (Greater Sahara),,
354,70718,26 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,,
360,72638,24 September 2020,Battles,Mali,Koulikoro,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2020-) Gendarmerie,,
361,72866,23 September 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
362,73318,23 September 2020,Battles,Mali,Mopti,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Military Forces of Mali (2020-),,G5S: G5 Sahel Force (2017-)
366,73946,22 September 2020,Battles,Mali,Gao,Military Forces of France (2017-),Unidentified Armed Group (Mali),,
370,74913,20 September 2020,Battles,Mali,Gao,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
371,74935,20 September 2020,Battles,Mali,Mopti,Islamic State (Greater Sahara),JNIM: Group for Support of Islam and Muslims,,
